Index;Mission;Category;Perspective text;Location
1;Camp at Lake La Yeguada;Trekking;Are you ready to wake up in the crater of a volcano? Don’t fear: La Yeguada has been devoid of lava for thousands of years. Today, it is surrounded by trails, pine groves and waterfalls, all waiting for you.;[8.455896926642586, -80.85613391010679]
2;Dive into Panamanian culture at the Gran Terminal;Transport;To appreciate our cultural melting pot, just spend an afternoon at the Gran Terminal. Pay attention and you’ll hear jokes and see people rushing about. You’ll notice what we carry and how we dress. You’ll eat with us and ride our buses. You’ll live Panama like a Panamanian.;[8.974292671037192, -79.55191849277816]
3;Learn to say hello like a Panamanian;Events;"In Panama, we don’t say hello by calling or whistling, but with shouts and salomas. Give us your best yell, no matter how much practice you’ve had; we will probably answer in the same way. Give it a try.";[7.697670872356382, -80.56647722529874]
4;Learn how to prepare rondón;Cooking;Rondón is the perfect mixture of fish, vegetables, coconut milk, and hot peppers. This soup tastes so much of the Caribbean that at the first spoonful your palate will ask you to move to Changuinola.;[9.448083750164304, -82.48913253859439]
5;Hike across the Darién gap;Trekking;You’ll probably say no to this one. It’s a hike of 15 days crossing the continental divide carrying your bed and your meals on your back. But imagine exploring pristine forests with huge waterfalls, meeting macaws and monkeys galore. It’s the time of your life. Sleep on it.;[8.279842518012646, -77.87557289853106]
6;Howl with howler monkeys;Forest;Each morning, the silence of Soberanía National Park is interrupted by the deafening roars of monkeys defending their territory. Since you can’t beat them, join them.;[9.074390981313279, -79.65968452423566]
7;Dance with the congos;Dancing;If you approach a congo dance, you run the risk of being asked to join in. Half afraid and half embarrassed, you will want to say no. But if you agree and jump into the revelry, you’ll end up tired and sweaty — maybe even stained with shoe polish — but grinning from ear to ear.;[9.322825012334604, -79.91103631814912]
8;Dance pindin at a toldo;Dancing;When you go to the interior, make sure you attend a baile. Pick your partner and hide in the crowd to dance all night long. The music will be pindín: the drums, the accordion and the salomas of the cantalante will be the perfect excuse to dance until daybreak.;[7.583456022773421, -80.3712267205297]
9;Knock mangoes down from a tree;Crops;There is no tastier mango than the one you knocked down yourself. If it’s not ripe, use it in a salad. If it is ripe, blend it into juice. And if you’re too hungry, peel it with your teeth and eat it right there.;[8.727403500737841, -80.17701620601774]
10;Take a dip in the Ibe Igar waterfall;Mountains;This hike is worth it. You may doubt it while you pant up a hill or when you slip downhill. Many are convinced when they face the waterfall roaring in the middle of the forest. But if you need more convincing, just wait till you jump into the pool. You’ll know it was worth it.;[9.435868497985918, -78.97043608592877]
11;Dive in a coral reef;Diving;The glass that separates you from the fish in our aquariums does not exist in the ocean. Forget your fears, dive in and surround yourself with the treasures that our reefs hide: a myriad of shapes and colors, of fishes and corals, and of beauty and abundance.;[7.4432652954242355, -81.75958580868524]
12; Find a sloth in the canopy;Animals;For an animal that’s so famously slow, sloths are really hard to find. If you’re not lucky enough to see one as it moves along a branch, you’ll have to carefully check each shape up in the canopy. When you find a ball of hair, congratulations: you’ve just found a sleeping sloth.;[9.075271594671538, -79.64950939160394]
13;Hike to the summit of Cerro Ancón;Hiking;The road up the hill tempts you with birds, frogs and sloths. But don’t delay: the best awaits at the summit. The largest flag in Panama is surrounded by lookouts to the best views of the city, its environs and its history. With so much to see, you won’t want to come down.;[8.961046065056951, -79.5480045816259]
14;Walk to the Church of the Black Christ;Folklore;Each October, tens of thousands of pilgrims dressed in purple walk to Portobelo to join the procession of the Black Christ. This is an impressive sight, so if crowds are not your thing, we recommend visiting this church any other time of the year.;[9.554330643565482, -79.65464539686563]
15;Ride a diablo rojo to Colón;Transport;In Panama we know how to pimp old school buses into sound systems you commute in. We cover them in paintings and sayings, and fill them with upholstery and commotion. The last diablos rojos remaining travel from Panama to Colón: as loud, unpredictable and unforgettable as ever.;[9.35344026751478, -79.90234618012343]
16;Eat a cup of ceviche;Food;This is how you enjoy ceviche: bite into a cracker brimming with fresh seafood, perfectly seasoned with onions, lemon and habanero peppers. Close your eyes and enjoy. Repeat.;[8.959172738652475, -79.5375843476137]
17;Eat a cone of pipa ice cream;Drinks;The sun and heat of a parade is better enjoyed with one or two cones of pipa ice cream. Don’t be ashamed to ask for more, because they’re rather addictive (and small).;[8.970231553652663, -79.53025874691849]
18;Eat a raspao;Drinks;Our raspaderos must be putting something in their ice, their condensed milk, or red flavoring to make their raspaos so tasty. Maybe it’s the paper cones? It doesn’t matter: all we know is that we keep wanting more.;[8.95007826184655, -79.53241150378395]
19;Eat a bowl of Panamanian sancocho;Cooking;Sancochos are cooked all over the Americas, but our favorite one is the Panamanian sancocho, which perfectly combines chicken, white yam and culantro in a soup that can work miracles: it curbs hunger, beats colds, and revives you after a night of wild partying.;[8.521065861962752, -80.0789838677837]
20;Embroider a mola;Handicrafts;Sewing a mola requires a good eye, a good hand, and — above all — a good teacher. Eyes to get inspiration from nature. Hands to connect multiple layers of fabric with almost invisible stitches. And the best Guna teacher to reveal her ancestral secrets.;[9.238441401174269, -78.22553550539037]
21;Pick coffee;Crops;Good coffee comes from good soil, and to get to your cup it needs good hands: your own. Look through the leaves and pick the ripest berries. After that, coffee needs to be dried, roasted, ground, brewed and enjoyed, and each step needs hands that are just as good.;[8.790009173254619, -82.62854899776706]
22;Pick wild blackberries;Crops;High in the mountains and protected by thorny bushes, a bunch of ripe blackberries awaits you: a wild delicacy that’s prized by birds and people alike.;[8.78741702408965, -82.61176213953392]
23;Protect sea turtles;Beach;Being a sea turtle is hard. Their many predators — including humans — disturb them when nesting or eat their eggs. But becoming their protector is not as hard. Just help fence in and watch their nests to protect them until the babies hatch and head for the waves. Help them!;[7.499658421257611, -80.01137989600501]
24;Discover calypso;Dancing;You’re hearing the best kept secret of Panama’s Caribbean. Right now, don’t worry about discovering its long history or admiring its performers. What’s important tonight is letting yourself go. This rhythm is taking to your body: just let it respond.;[9.494200249600478, -82.57811903845943]
25;Discover the mejorana festival;Folklore;Any good Panamanian festival has a mejorana competition, or fondas, or a bull run, or typical dances. But the best festival of them all has all of this happening at once. This is your chance to live the best of typical culture in a single weekend.;[8.123062867938883, -80.67686170034837]
26;Select the best chicheme;Drinks;Each restaurant has its own recipe for chicheme. Some use cracked corn or whole kernels, fresh or evaporated milk, cinnamon or nutmeg, sugar or raspadura. Even though none will be as tasty as the chicheme our grandmothers made, you have to venture out and find your favorite.;[8.871429171010712, -79.78015867822562]
27;Find a quetzal;Birdwatching;Of all the fantastic beasts that hide in the cloud forests of Panama, the quetzal is the most legendary. Seeing its picture in this screen — impressive as it may be — is no comparison to discovering one posing overhead, camouflaged among the moss and the mist.;[8.773562354953608, -82.44247621399971]
28;Find a holy ghost orchid in its natural habitat;Plants;Our National Flower is a legendary beauty. To appreciate its complex petals and subtle colors, this screen is not enough: you need to find a plant in bloom. But seeing it planted in a pot is not enough, either. The real deal is to discover one flowering in the forest.;[8.614317947662942, -80.1302631402162]
29;Stomp in mud at a junta de embarra;Folklore;We are almost ready to build a new quincha house. There’s the newlywed groom, the respected tradition, and the whole town ready to help. There’s the tamborito and the food, the mud and the materials, the land and the enthusiasm. What’s missing is you, your feet and your salomas.;[7.542499407890882, -80.380077746016]
30;Visit a fonda and try all the frituras;Food;Every fair in the interior has a row of fondas full of frituras waiting for you. You will have plenty of choices to fill your plate: torrejitas, carimañolas, chicharrones, hojaldras, lechona and a whole bunch of other options. If you’re not hungry, you’ll regret it.;[7.954541355890971, -80.43889004047418]
31;Climb up the highest peak in Taboga;Hiking;When you land at Taboga, you’ll notice everyone rushes to the beach. But don’t settle for that: they’re missing out the best part of the island. Venture to the top of Cerro Vigía and you’ll find yourself surrounded by an infinite horizon and an amazing view of Panama City. ;[8.787784908118299, -79.54495851538263]
32;Climb the tower in Panama Viejo;Historical building;You stand where the history of our metropolis began. Climb the stairs to the top of Panama’s first great tower and compare it with the skyscrapers of today. From here, you’ll get an unmatched view of the city and its past, of our mangroves and of our horizon.;[9.00674404371385, -79.4851777452614]
33;Listen to the chorus of frogs;Frogs;The chorus singing for you is made up of hundreds of frogs and toads, each with a talent to add. Surround yourself with forest and night, close your eyes and perk up your ears, and pick out the sopranos, tenors and baritones from this captivating wall of voices.;[8.222557459743639, -81.11864200994958]
34;Listen to the lyrics at a cantadera;Events;No festival is complete without a cantadera. Two opponents improvise verses in strict décima trying to win over the audience, to sing in tune and to anger the adversary, all at once. Your job is to decide who did better.;[8.608372004819621, -80.28917426955525]
35;Explore the La Cruz Trail;Hiking;La Cruz Trail crosses a cloud forest covered in moss, full of wild flowers and enveloped in a marvelous climate. Walk to the end and climb a boulder to face an impressive view. All of this is right there, waiting for you.;[8.695312868910243, -79.92313791417583]
36;Kayak in the Chagres River;River adventure;Panama’s most powerful river is surprisingly calm. Leave the noise of the city behind: let your kayak slide over the liquid mirror of the Chagres and immerse yourself in its silences.;[9.284191514850866, -79.47785454016628]
37;Have a picnic under the stars during the Jazz Festival;Events;Get ready for a summer evening with your friends, eating and drinking while sitting on the grass and looking up at a sky full of stars. From the stage comes the music that the best jazz players in the world are performing just for you. And to top it all off, it’s free.;[8.999660612758952, -79.58350775521785]
38;Go river rafting;River adventure;The steep and rocky rivers of Chiriquí have rapids for all levels of experience (and insanity). Jump into this adventure, and get ready to get soaked.;[8.534681246239868, -82.44275817647294]
39;Get a jagua tattoo;Handicrafts;A jagua tattoo is as valuable as the connection you established with the person that painted it for you. Don’t settle for getting yours in the city. Travel to the comarca, get to know an Emberá community, eat with them, and return with the best memento of them all.;[9.453499031932811, -79.73480661691973]
40;Play dominoes at the Los Aburridos park;City;"Even if you can’t count the domino pieces — or even know how to play this oldest of games — you’re welcome at the Parque de Los Aburridos. Go there and challenge anyone to a match; not to win and not to lose, but to get to know the best players in Panama.";[8.951804362054052, -79.54167595928183]
41;Wake up at dawn and enjoy dim sum;Food;Every Sunday, hundreds of families wake up early to make their pilgrimage to a Chinese restaurant: true temples of multicultural food. Each plate — ham paos, spring rolls, pork ribs — is an envigorating mixture of Panamanian ingredients prepared in the best Cantonese style.;[9.008031755204478, -79.53530539394515]
42;Join the fiestas patrias parades;Folklore;Each November, we celebrate the anniversary of Panama with parades all over the country. Schools don their best uniforms and march the avenues while their bands give rhythm to our celebration. Join us while eating a good raspao or carne en palito.;[8.969411236064573, -79.53035540115886]
